id,player_name,games,min_PG,goals_season,xG_season,assists_season,xA_season,shots_season,key_passes_season,yellow_cards,red_cards,position,team_title,npg_season,npxG_season
1386,Piotr Zielinski,6,24.67,2,1.6,0,0.06,5,3,0,0,M S,Inter,0,0.08
1710,Marten de Roon,10,90.0,2,0.36,0,0.66,3,9,3,0,D M,Atalanta,2,0.36
1804,Álvaro Morata,7,63.29,2,0.58,0,0.55,7,4,2,0,F M S,AC Milan,2,0.58
1958,Mattia Zaccagni,8,85.75,2,2.48,2,1.2,15,15,2,0,F M,Lazio,1,1.72
2217,Antonio Sanabria,6,63.0,2,1.83,0,0.22,8,4,1,0,F S,Torino,2,1.07
2547,Theo Hernández,7,68.71,2,1.55,2,0.55,9,10,0,1,D S,AC Milan,2,0.79
6692,Enrico Del Prato,9,81.11,2,0.65,0,0.75,3,6,2,0,D S,Parma Calcio 1913,2,0.65
6718,Andrea Colpani,9,72.56,2,2.25,1,0.72,20,9,1,0,M S,Fiorentina,2,2.25
7005,Jens Odgaard,7,50.86,2,0.34,0,0.23,9,3,0,0,F M S,Bologna,2,0.34
7284,Marco Brescianini,6,61.33,2,0.96,0,0.4,5,3,0,0,M S,Atalanta,2,0.96
7375,Roberto Piccoli,10,84.8,2,4.4,0,0.35,30,3,1,0,F,Cagliari,2,4.4
7944,Gabriel Strefezza,9,82.89,2,0.73,1,0.71,20,15,2,0,M,Como,2,0.73
7969,Sebastiano Esposito,8,68.75,2,1.79,0,0.44,17,6,0,0,F M S,Empoli,2,1.79
8341,Lazar Samardzic,8,38.5,2,1.1,1,0.69,16,13,0,0,M S,Atalanta,2,1.1
8478,Lorenzo Colombo,10,66.7,2,2.64,1,0.78,14,7,1,0,F M S,Empoli,1,1.88
8856,Razvan Marin,10,69.0,2,1.21,0,1.34,13,18,2,0,M S,Cagliari,1,0.45
8913,Emmanuel Gyasi,10,89.0,2,1.86,0,0.07,5,4,2,0,D M,Empoli,2,1.86
9840,Denzel Dumfries,8,35.38,2,0.96,0,0.25,6,4,2,0,D S,Inter,2,0.96
10877,Charles De Ketelaere,10,70.2,2,2.7,3,3.15,15,19,0,0,F M S,Atalanta,2,2.7
11741,Saúl Coco,8,90.0,2,0.52,0,0.0,4,0,1,0,D,Torino,2,0.52
11900,Lucas Beltrán,5,48.2,2,1.98,1,0.49,7,4,0,0,M S,Fiorentina,1,1.21
11942,Kenan Yildiz,10,66.1,2,1.13,2,0.93,15,11,0,0,F M S,Juventus,2,1.13
11944,Patrick Dorgu,9,85.0,2,2.03,0,0.27,19,7,1,1,D F M,Lecce,2,2.03
12008,Nikola Krstovic,10,87.7,2,3.87,0,0.34,41,7,0,0,F,Lecce,2,3.87
12378,Tijjani Noslin,8,39.75,2,1.2,0,0.59,6,5,1,0,F M S,Lazio,2,1.2
189,Hakan Calhanoglu,7,68.71,1,0.93,0,1.1,8,8,1,0,M,Inter,0,0.17
317,Henrikh Mkhitaryan,10,78.6,1,0.33,0,0.27,7,4,2,0,M,Inter,1,0.33
557,Matteo Darmian,10,65.0,1,0.76,2,0.92,6,7,1,0,D S,Inter,1,0.76
702,Tammy Abraham,7,51.0,1,4.13,1,0.55,14,4,0,0,F S,"AC Milan,Roma",0,2.6
1053,Keinan Davis,10,32.3,1,1.31,1,1.91,8,8,1,0,F S,Udinese,1,1.31
1102,Giovanni Simeone,8,20.12,1,0.89,0,0.27,5,4,0,0,F S,Napoli,1,0.89
1106,Darko Lazovic,10,71.0,1,2.04,3,1.71,11,6,0,0,D M S,Verona,0,1.28
1134,Mario Pasalic,9,61.78,1,2.75,1,0.6,13,8,1,0,M S,Atalanta,1,1.98
1164,Cristiano Biraghi,6,69.5,1,0.15,0,0.2,4,5,1,0,D S,Fiorentina,1,0.15
1168,Bryan Cristante,9,78.89,1,0.5,0,0.54,10,4,3,0,M,Roma,1,0.5
1186,Andrea Belotti,7,30.71,1,1.37,0,0.39,7,3,0,0,F S,Como,1,1.37
1226,Karol Linetty,8,73.38,1,0.12,0,0.09,3,5,3,0,M S,Torino,1,0.12
1294,Paulo Dybala,7,63.29,1,1.46,0,2.06,17,13,0,0,M S,Roma,0,0.7
1324,Federico Dimarco,10,81.8,1,1.31,1,2.69,23,24,1,0,D,Inter,1,1.31
